FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17000,Illinois,,12910409,24.6,12.4,14.5,0.2,4.4,0,15.3,11894213,1133505,9.5,50.7,12.2,7,,,,,35478,18,18,19,23,,,5415,12842954,42,2372:01:00,56230,55800,56660,1714788,4632366,37,41,9507861,12.9,10.4,16.6,12842954,1289,10,4374646,5952465,74
17001,Illinois,Adams,67054,22.7,17.7,3.5,0.2,0.5,0,1,62766,374,0.6,51.7,33.6,9,7,11,56208,59,254,19,14,26,30,24,37,16,66895,24,4181:01:00,44555,40619,48491,6517,27040,24,33,51098,7.9,3.7,14.4,66895,1,1,26847,32620,82
17003,Illinois,Alexander,7914,23.5,18.5,33.3,0.3,0.5,0,1.6,7732,34,0.4,51.8,58.8,11,9,14,6851,248,39,,,,29,24,36,0,8112,0,8112:00:00,28725,25233,32217,850,3334,26,68,6789,15.3,7.4,26.7,8112,2,25,2491,2976,84
17005,Illinois,Bond,18103,20.3,14.7,7.3,0.5,0.3,0,1.6,16993,38,0.2,46.2,60.1,9,7,11,15719,83,64,,,,28,21,35,3,18185,17,6062:01:00,45930,40637,51223,1650,6085,27,28,12637,8.6,4,15.8,18185,1,5,6882,8222,84
17007,Illinois,Boone,54020,29.2,11.4,2.6,0.4,1.4,0,20.3,48519,4067,8.4,49.5,30.4,7,6,9,43011,35,135,18,11,28,25,19,32,3,53892,6,17964:1,62531,57660,67402,6120,16615,37,30,34823,10.8,5.2,19.4,53892,5,9,18880,22822,83
17009,Illinois,Brown,6591,16.8,11.8,19.4,0.1,0.2,0.1,4.5,6305,102,1.6,34.9,41.8,8,6,10,5860,631,13,,,,25,19,33,1,6564,15,6564:01:00,42660,37923,47397,419,2065,20,27,4220,12.2,5.9,21.6,6564,0,0,1719,2163,80
17011,Illinois,Bureau,34699,23.6,17.6,0.8,0.2,0.7,0,7.1,32645,735,2.3,50.7,62,9,7,11,29465,17,166,13,7,21,27,21,34,1,34759,3,34759:1,46891,43103,50679,3793,14212,27,25,27688,8.3,3.9,14.9,34759,3,9,13410,16319,82
17013,Illinois,Calhoun,5019,21,19.5,0.1,0.3,0.2,0,0.7,4791,67,1.4,49.6,100,10,7,12,4429,,20,,,,28,21,36,1,5024,20,5024:01:00,44146,38953,49339,481,1960,25,34,4139,8.5,3.9,15.7,5024,1,20,1646,2090,79
17015,Illinois,Carroll,15749,20.8,20.8,1,0.3,0.5,0,2.5,15093,331,2.2,50.3,79,10,8,12,13701,,82,,,,28,22,36,0,15809,0,15809:0,45301,39951,50651,1685,6822,25,29,12977,9,4.3,16.2,15809,0,0,5820,7447,78
17017,Illinois,Cass,13559,24.9,15.6,1.7,0.2,0.3,0,18.5,12623,1166,9.2,49.5,55.2,9,7,11,11186,45,62,,,,27,20,34,0,13576,0,13576:0,40561,36262,44860,1123,4818,23,40,10665,13.4,6.5,23.7,13576,2,15,4573,6213,74
17019,Illinois,Champaign,195671,19.5,10.1,12,0.3,7.7,0.1,4.3,180612,8279,4.6,49.5,15.8,7,6,9,164953,163,580,14,11,18,25,21,29,103,193562,53,1879:01:00,45840,42243,49437,28237,73911,38,35,137684,7.6,3.5,14.3,193562,13,7,64926,93888,69
17021,Illinois,Christian,34253,22.7,17.2,2.7,0.2,0.8,0,1.3,32520,373,1.1,49.5,43.6,9,7,11,29274,222,126,12,7,21,26,21,33,0,34467,0,34467:0,44711,40235,49187,3289,13605,24,31,26574,9.4,4.4,17,34467,2,6,12308,14766,83
17023,Illinois,Clark,16657,22.6,17.9,0.6,0.2,0.2,0,0.8,15818,55,0.3,51.2,58.3,9,7,11,14252,91,72,13,7,24,28,22,36,0,16788,0,16788:0,48357,44340,52374,1526,6794,23,29,13200,8.4,4,15.4,16788,2,12,6533,7754,84
17025,Illinois,Clay,13538,23,18.2,0.6,0.3,0.9,0,1.2,12815,94,0.7,51.4,66,9,7,11,11578,52,50,11,4,24,28,21,35,0,13663,0,13663:0,39490,34994,43986,1402,5555,25,32,10967,9.3,4.4,16.7,13663,3,22,4818,6020,80
17027,Illinois,Clinton,36368,22.7,15.1,4.2,0.2,0.4,0,2.4,34158,294,0.9,48.2,41.7,9,7,11,30845,259,125,22,14,34,27,21,33,0,36402,0,36402:0,55683,51395,59971,2867,13622,21,20,26774,7.6,3.5,14,36402,2,5,13809,17045,81
17029,Illinois,Coles,52065,18,13.5,3.3,0.3,1,0,2,49505,571,1.2,52.2,24,7,6,9,45361,55,175,16,10,24,26,20,33,12,52111,23,4343:01:00,38377,35532,41222,7691,20567,37,32,39237,7.7,3.5,14.4,52111,4,8,17467,22342,78
