FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17000,Illinois,,130047,321,319,323,6516,53,52,54,8230,7,7,7,11,10,13,11,9,12,10,,,34686,324,1755180,14,554467,4,4912,13,13.1,7500,8,8,9,34,32,36,1464248,18,18,19,139053,4,4,5,9880,50,1986:1,52,1922:1,57458,56954,57962,45,73,55,6,6,7,12880580,23.2,13.9,1823834,14.2,75293,0.6,684715,5.3,8193,0.1,2152974,16.7,8022946,62.3,566446,4.7,4.6,4.8,50.9,1477079,11.5,
17001,Illinois,Adams,779,337,313,362,24,39,25,58,29,5,3,7,10,10,10,10,10,10,10,9,10,39,69,8750,13,2359,4,23,11,10.1-12.0,46,10,7,13,33,32,34,5198,13,12,15,546,3,2,5,8879,82,1218:1,85,1175:1,46061,43573,48549,42,56,43,3,1,5,66988,22.5,18.7,2416,3.6,141,0.2,507,0.8,13,0.0,970,1.4,61897,92.4,229,0.4,0.1,0.6,51.1,21875,32.6,
17003,Illinois,Alexander,135,463,382,544,,,,,,,,,16,16,17,15,14,15,16,15,16,26,402,1780,22,1724,21,,,8.1-10.0,11,19,10,35,40,39,40,737,18,15,20,66,4,2,5,9891,40,2497:1,40,2497:1,30699,26784,34614,86,52,51,,,,7492,22.9,18.2,2706,36.1,34,0.5,21,0.3,9,0.1,160,2.1,4406,58.8,9,0.1,0.0,1.1,49.7,5096,61.9,
17005,Illinois,Bond,206,345,297,393,,,,,,,,,11,10,11,10,10,11,10,9,10,21,139,2350,13,681,4,,,6.1-8.0,24,19,12,29,33,32,34,1304,14,12,16,149,4,3,5,8893,52,1919:1,52,1919:1,49886,43958,55814,39,38,12,,,,17269,19.4,16.5,1099,6.4,104,0.6,132,0.8,5,0.0,600,3.5,15165,87.8,66,0.4,0.0,0.9,47.3,10792,60.7,
17007,Illinois,Boone,486,280,255,305,24,40,26,59,26,6,4,8,10,10,11,10,10,10,10,9,10,28,64,5760,11,1327,2,22,14,10.1-12.0,46,12,9,16,34,33,35,5931,18,16,20,774,5,4,6,9537,13,7696:1,13,7696:1,58792,52527,65057,56,45,27,3,1,5,53869,26.1,14.0,1235,2.3,349,0.6,742,1.4,50,0.1,11080,20.6,40096,74.4,2175,4.3,3.3,5.3,50.2,10488,19.4,
17009,Illinois,Brown,63,312,239,401,,,,,,,,,9,9,10,9,9,9,8,8,8,36,584,800,12,830,12,,,8.1-10.0,,,,,34,33,35,370,13,11,15,40,4,3,5,9255,44,2277:1,44,2277:1,50225,44259,56191,30,,1,,,,6832,15.0,13.0,1288,18.9,84,1.2,22,0.3,2,0.0,425,6.2,5056,74.0,27,0.4,0.0,1.4,35.6,2849,41.1,
17011,Illinois,Bureau,397,323,290,356,16,51,29,83,,,,,10,10,10,10,10,10,10,10,11,16,55,4280,12,4276,12,12,12,12.1-14.0,29,12,8,17,32,31,33,3187,16,14,18,388,5,4,6,8920,41,2417:1,47,2115:1,52138,48272,56004,38,59,41,,,,33840,21.8,19.9,237,0.7,140,0.4,302,0.9,11,0.0,2926,8.6,30002,88.7,309,1.0,0.6,1.3,51.0,20074,57.4,
17013,Illinois,Calhoun,61,299,225,389,,,,,,,,,9,9,10,10,9,10,10,10,11,,,640,13,237,5,,,8.1-10.0,,,,,30,30,31,456,16,14,18,62,6,4,7,8799,20,4956:1,20,4956:1,49689,43820,55558,35,,41,,,,4956,20.4,22.8,14,0.3,8,0.2,15,0.3,0,0.0,56,1.1,4841,97.7,2,0.0,0.0,1.5,49.9,5089,100.0,
17015,Illinois,Carroll,225,372,319,425,,,,,,,,,10,9,10,10,10,10,11,10,11,5,39,1990,13,569,4,,,6.1-8.0,32,30,20,42,29,28,30,1388,16,14,18,149,5,4,6,8546,20,4905:1,27,3679:1,50750,45864,55636,38,,24,,,,14715,19.1,23.6,160,1.1,56,0.4,92,0.6,3,0.0,496,3.4,13776,93.6,134,0.9,0.4,1.5,50.0,12598,81.9,
17017,Illinois,Cass,177,391,333,450,,,,,,,,,10,10,11,10,10,10,10,9,10,,,1590,12,424,3,,,10.1-12.0,19,20,12,31,32,31,33,1558,20,17,22,197,6,4,7,7856,46,2193:1,46,2193:1,46289,41382,51196,55,36,43,,,,13156,24.5,16.4,389,3.0,108,0.8,74,0.6,10,0.1,2486,18.9,10068,76.5,592,4.7,3.2,6.2,49.3,7112,52.1,
