FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
17000,Illinois,,79.3,79.2,79.3,,,,141215,327,325,329,,,,6102,52,51,53,,,,6915,6,6,6,,,,11,10,12,10,9,11,9,,,35441,330,1413420,11,573012,4,7024,18,7511,8,8,9,32,31,34,730323,9,9,10,79724,3,2,3,72,1382:1,7,63044,62407,63681,,,,50,72,54,7,7,7,6549,10,10,10,3185142,66,66,66,707757,15,15,15,12802023,22.6,15.2,1803697,14.1,75867,0.6,729694,5.7,8374,0.1,2209337,17.3,7849887,61.3,527265,4,4,4,50.8,1477079,11.5
17001,Illinois,Adams,78.2,77.5,78.9,77.2,,78.1,877,362,337,387,475,,362,41,68,49,92,,,,34,6,4,9,,,,11,10,11,11,10,11,11,8,15,44,79,7690,12,2128,3,33,17,47,10,7,13,29,28,30,2334,6,5,7,363,2,2,3,112,895:1,5,49088,46449,51727,30801,64961,49566,45,53,43,3,1,5,30,9,6,13,19373,71,69,72,2770,10,9,12,66234,22.5,19.9,2553,3.9,182,0.3,591,0.9,21,0.0,1043,1.6,60761,91.7,135,0,0,0,50.8,21875,32.6
17003,Illinois,Alexander,73.9,71.6,76.1,70.6,,75.3,147,545,451,638,702,,489,,,,,,,,,,,,,,,17,17,18,15,15,16,11,8,15,19,342,1650,23,1030,13,,,,,,,36,35,38,273,8,6,9,30,2,1,3,32,3158:1,,33985,29849,38121,23084,,38068,98,56,56,,,,,,,,1714,70,66,75,358,15,10,21,6315,23.7,21.3,2091,33.1,28,0.4,15,0.2,10,0.2,107,1.7,3924,62.1,6,0,0,1,52.0,5096,61.9
17005,Illinois,Bond,78.0,76.7,79.4,,,,244,392,341,442,,,,,,,,,,,,,,,,,,12,11,12,11,11,12,9,6,12,12,82,2030,12,482,3,14,28,25,21,13,31,31,30,32,634,7,6,8,100,3,2,4,53,1883:1,,54831,50013,59649,,,,49,55,43,,,,,,,,4803,78,78,79,479,8,5,11,16948,19.1,18.1,1077,6.4,115,0.7,125,0.7,6,0.0,608,3.6,14830,87.5,34,0,0,1,47.6,10792,60.7
17007,Illinois,Boone,80.2,79.5,80.9,,88.0,79.6,539,288,263,313,,184,305,13,24,13,40,,,,,,,,,,,11,11,12,11,10,11,10,7,13,40,91,3900,7,2607,5,28,17,42,11,8,15,31,30,32,2864,9,8,10,426,3,2,4,17,5946:1,,69413,63103,75723,71193,60918,63846,45,14,12,,,,16,6,3,10,14820,79,77,82,2095,11,9,14,53513,25.1,15.4,1204,2.2,391,0.7,711,1.3,50,0.1,11803,22.1,39009,72.9,1720,3,2,4,50.1,10488,19.4
17009,Illinois,Brown,78.9,76.9,81.0,,,,70,331,257,418,,,,,,,,,,,,,,,,,,11,10,11,10,10,10,8,5,11,15,248,760,11,906,13,,,,,,,33,32,34,119,4,3,5,20,2,1,3,15,6716:1,,53875,47116,60634,,,,83,,,,,,,,,,1628,79,76,81,114,6,2,9,6716,15.4,13.5,1288,19.2,88,1.3,23,0.3,2,0.0,444,6.6,4903,73.0,40,1,0,2,34.9,2849,41.1
17011,Illinois,Bureau,78.5,77.6,79.5,,89.0,78.2,461,364,328,399,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,10,7,14,19,67,3380,10,3727,11,21,21,36,15,11,21,31,30,32,1495,8,7,9,227,3,2,4,69,1445:1,10,55632,51137,60127,,54375,54203,48,,42,,,,16,10,5,16,10518,76,75,77,1208,9,7,11,33243,21.6,21.4,251,0.8,161,0.5,297,0.9,13,0.0,3074,9.2,29168,87.7,406,1,1,2,50.9,20074,57.4
17013,Illinois,Calhoun,82.4,80.1,84.8,,,,43,222,155,307,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,,,520,11,219,4,,,,,,,30,29,32,176,6,5,7,32,3,2,4,21,4833:1,,55138,48548,61728,,,,44,,,,,,,,,,1546,82,79,85,183,10,6,15,4833,20.5,22.8,19,0.4,10,0.2,11,0.2,0,0.0,63,1.3,4707,97.4,0,0,0,1,49.9,5089,100.0
17015,Illinois,Carroll,79.4,78.1,80.7,,,,219,348,297,398,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,,,1530,10,968,6,,,25,24,16,36,28,27,29,636,8,6,9,93,3,2,4,14,7259:1,,49744,44721,54767,11250,52000,50666,47,,32,,,,,,,,5048,77,76,78,590,9,7,12,14518,19.6,24.8,148,1.0,70,0.5,82,0.6,5,0.0,565,3.9,13503,93.0,36,0,0,1,50.1,12598,81.9
17017,Illinois,Cass,77.3,75.9,78.8,,86.4,76.9,175,389,330,448,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,10,7,14,,,1180,9,396,3,,,18,20,12,31,31,30,32,794,11,9,13,116,4,2,5,56,1786:1,,50568,45260,55876,35750,38969,52484,70,34,28,,,,,,,,3786,73,70,77,355,7,5,9,12505,24.0,17.3,443,3.5,85,0.7,77,0.6,16,0.1,2388,19.1,9481,75.8,847,7,5,9,49.7,7112,52.1
