"ZIP","FIPS","CountyName","St","Name","Lat","Long","Enc_ZIP","Pops","Area","PopDensity"
60001,17111,"McHenry","IL","60001 Alden",42.421141,-88.616252,"60033",0,0,0
60002,17097,"Lake","IL","60002 Antioch",42.474263,-88.103323,"",0,0,0
60004,17031,"Cook","IL","60004 Arlington Heights",42.111424,-87.980372,"",0,0,0
60005,17031,"Cook","IL","60005 Arlington Heights",42.064974,-87.982208,"",0,0,0
60006,17031,"Cook","IL","60006 Arlington Heights",42.088133,-87.993611,"60005",0,0,0
60007,17031,"Cook","IL","60007 Elk Grove Village",42.005150,-88.009414,"",0,0,0
60008,17031,"Cook","IL","60008 Rolling Meadows",42.071264,-88.023985,"",0,0,0
60009,17031,"Cook","IL","60009 Elk Grove Village",42.015093,-87.978862,"60007",0,0,0
60010,17097,"Lake","IL","60010 Barrington",42.168755,-88.151686,"",0,0,0
60011,17031,"Cook","IL","60011 Barrington",42.131229,-88.129859,"60010",0,0,0
60012,17111,"McHenry","IL","60012 Crystal Lake",42.268747,-88.320894,"",0,0,0
60013,17111,"McHenry","IL","60013 Cary",42.216197,-88.244826,"",0,0,0
60014,17111,"McHenry","IL","60014 Crystal Lake",42.224602,-88.329041,"",0,0,0
60015,17097,"Lake","IL","60015 Deerfield",42.163835,-87.867167,"",0,0,0
60016,17031,"Cook","IL","60016 Des Plaines",42.045876,-87.889108,"",0,0,0
60017,17031,"Cook","IL","60017 Des Plaines",42.023605,-87.900643,"60018",0,0,0
60018,17031,"Cook","IL","60018 Des Plaines",42.015530,-87.899815,"",0,0,0
60019,17031,"Cook","IL","60019 Des Plaines",42.023703,-87.899261,"60018",0,0,0
60020,17097,"Lake","IL","60020 Fox Lake",42.401532,-88.177864,"",0,0,0
60021,17111,"McHenry","IL","60021 Fox River Grove",42.193959,-88.214564,"",0,0,0
60022,17031,"Cook","IL","60022 Glencoe",42.134987,-87.762393,"",0,0,0
60025,17031,"Cook","IL","60025 Glenview",42.074050,-87.826844,"",0,0,0
60026,17031,"Cook","IL","60026 Glenview",42.089714,-87.836504,"",0,0,0
60029,17031,"Cook","IL","60029 Golf",42.060579,-87.790251,"",0,0,0
60030,17097,"Lake","IL","60030 Grayslake",42.346972,-88.030957,"",0,0,0
60031,17097,"Lake","IL","60031 Gurnee",42.383011,-87.938912,"",0,0,0
60033,17111,"McHenry","IL","60033 Harvard",42.422093,-88.608522,"",0,0,0
60034,17111,"McHenry","IL","60034 Hebron",42.470726,-88.431527,"",0,0,0
60035,17097,"Lake","IL","60035 Highland Park",42.183411,-87.805648,"",0,0,0
60037,17097,"Lake","IL","60037 Fort Sheridan",42.207044,-87.802025,"",0,0,0
60038,17031,"Cook","IL","60038 Palatine",42.097209,-88.012329,"60074",0,0,0
60039,17111,"McHenry","IL","60039 Crystal Lake",42.233192,-88.302463,"60014",0,0,0
60040,17097,"Lake","IL","60040 Highwood",42.205176,-87.814534,"",0,0,0
60041,17097,"Lake","IL","60041 Ingleside",42.375338,-88.139878,"",0,0,0
60042,17111,"McHenry","IL","60042 Island Lake",42.277712,-88.203314,"",0,0,0
60043,17031,"Cook","IL","60043 Kenilworth",42.087795,-87.716276,"",0,0,0
60044,17097,"Lake","IL","60044 Lake Bluff",42.289007,-87.855941,"",0,0,0
60045,17097,"Lake","IL","60045 Lake Forest",42.229666,-87.869098,"",0,0,0
60046,17097,"Lake","IL","60046 Lake Villa",42.416549,-88.063611,"",0,0,0
60047,17097,"Lake","IL","60047 Lake Zurich",42.201016,-88.063698,"",0,0,0
60048,17097,"Lake","IL","60048 Libertyville",42.284850,-87.950153,"",0,0,0
60049,17097,"Lake","IL","60049 Long Grove",42.199542,-88.041707,"60047",0,0,0
60050,17111,"McHenry","IL","60050 McHenry",42.354324,-88.275508,"",0,0,0
60051,17111,"McHenry","IL","60051 McHenry",42.334510,-88.212672,"",0,0,0
60053,17031,"Cook","IL","60053 Morton Grove",42.042835,-87.794376,"",0,0,0
60055,17031,"Cook","IL","60055 Palatine",42.125186,-88.075317,"60067",0,0,0
60056,17031,"Cook","IL","60056 Mount Prospect",42.059258,-87.937357,"",0,0,0
60060,17097,"Lake","IL","60060 Mundelein",42.265144,-88.008291,"",0,0,0
60061,17097,"Lake","IL","60061 Vernon Hills",42.231560,-87.965635,"",0,0,0
60062,17031,"Cook","IL","60062 Northbrook",42.122948,-87.847917,"",0,0,0
60064,17097,"Lake","IL","60064 North Chicago",42.330623,-87.855887,"",0,0,0
60065,17031,"Cook","IL","60065 Northbrook",42.138346,-87.845803,"60062",0,0,0
60067,17031,"Cook","IL","60067 Palatine",42.107687,-88.058209,"",0,0,0
60068,17031,"Cook","IL","60068 Park Ridge",42.013281,-87.844285,"",0,0,0
60069,17097,"Lake","IL","60069 Lincolnshire",42.194665,-87.926403,"",0,0,0
60070,17031,"Cook","IL","60070 Prospect Heights",42.103494,-87.907611,"",0,0,0
60071,17111,"McHenry","IL","60071 Richmond",42.465395,-88.290850,"",0,0,0
60072,17111,"McHenry","IL","60072 Ringwood",42.401688,-88.303103,"",0,0,0
60073,17097,"Lake","IL","60073 Round Lake",42.365443,-88.089795,"",0,0,0
60074,17031,"Cook","IL","60074 Palatine",42.130083,-88.025810,"",0,0,0
60075,17097,"Lake","IL","60075 Russell",42.490410,-87.912783,"60099",0,0,0
60076,17031,"Cook","IL","60076 Skokie",42.037148,-87.731373,"",0,0,0
60077,17031,"Cook","IL","60077 Skokie",42.035309,-87.753329,"",0,0,0
60078,17031,"Cook","IL","60078 Palatine",42.115696,-88.053309,"60067",0,0,0
60079,17097,"Lake","IL","60079 Waukegan",42.364252,-87.831587,"60085",0,0,0
60081,17111,"McHenry","IL","60081 Spring Grove",42.441382,-88.216456,"",0,0,0
60082,17031,"Cook","IL","60082 Techny",42.113276,-87.795207,"",0,0,0
60083,17097,"Lake","IL","60083 Wadsworth",42.429367,-87.927309,"",0,0,0
60084,17097,"Lake","IL","60084 Wauconda",42.270041,-88.136821,"",0,0,0
60085,17097,"Lake","IL","60085 Waukegan",42.361834,-87.864409,"",0,0,0
60086,17097,"Lake","IL","60086 North Chicago",42.305871,-87.857417,"60088",0,0,0
60087,17097,"Lake","IL","60087 Waukegan",42.400927,-87.856031,"",0,0,0
60088,17097,"Lake","IL","60088 Great Lakes",42.309441,-87.852493,"",0,0,0
60089,17097,"Lake","IL","60089 Buffalo Grove",42.161976,-87.962795,"",0,0,0
60090,17031,"Cook","IL","60090 Wheeling",42.135375,-87.933603,"",0,0,0
60091,17031,"Cook","IL","60091 Wilmette",42.078909,-87.726511,"",0,0,0
60092,17097,"Lake","IL","60092 Libertyville",42.259296,-87.946771,"60048",0,0,0
60093,17031,"Cook","IL","60093 Winnetka",42.101127,-87.746034,"",0,0,0
60094,17031,"Cook","IL","60094 Palatine",42.115696,-88.053309,"60067",0,0,0
60095,17031,"Cook","IL","60095 Palatine",42.097209,-88.012329,"60074",0,0,0
60096,17097,"Lake","IL","60096 Winthrop Harbor",42.485568,-87.828937,"",0,0,0
60097,17111,"McHenry","IL","60097 Wonder Lake",42.381993,-88.345242,"",0,0,0
60098,17111,"McHenry","IL","60098 Woodstock",42.315626,-88.446039,"",0,0,0
60099,17097,"Lake","IL","60099 Zion",42.452771,-87.847722,"",0,0,0
60101,17043,"DuPage","IL","60101 Addison",41.934757,-88.006001,"",0,0,0
60102,17111,"McHenry","IL","60102 Algonquin",42.163379,-88.307466,"",0,0,0
60103,17043,"DuPage","IL","60103 Bartlett",41.975445,-88.183680,"",0,0,0
60104,17031,"Cook","IL","60104 Bellwood",41.885050,-87.877166,"",0,0,0
60106,17043,"DuPage","IL","60106 Bensenville",41.953158,-87.942556,"",0,0,0
60107,17031,"Cook","IL","60107 Streamwood",42.020978,-88.171639,"",0,0,0
60108,17043,"DuPage","IL","60108 Bloomingdale",41.951738,-88.087560,"",0,0,0
60109,17089,"Kane","IL","60109 Burlington",42.052751,-88.548085,"60140",0,0,0
60110,17089,"Kane","IL","60110 Carpentersville",42.123256,-88.266889,"",0,0,0
60111,17037,"DeKalb","IL","60111 Clare",42.015616,-88.831797,"",0,0,0
60112,17037,"DeKalb","IL","60112 Cortland",41.923217,-88.690805,"",0,0,0
60113,17141,"Ogle","IL","60113 Creston",41.931117,-88.961320,"61068",0,0,0
60115,17037,"DeKalb","IL","60115 Dekalb",41.931706,-88.758800,"",0,0,0
60116,17043,"DuPage","IL","60116 Carol Stream",41.916966,-88.103568,"60188",0,0,0
60117,17043,"DuPage","IL","60117 Bloomingdale",41.942974,-88.115128,"60108",0,0,0
60118,17089,"Kane","IL","60118 Dundee",42.096391,-88.289675,"",0,0,0
60119,17089,"Kane","IL","60119 Elburn",41.879156,-88.461514,"",0,0,0
60120,17031,"Cook","IL","60120 Elgin",42.040712,-88.249546,"",0,0,0
60121,17089,"Kane","IL","60121 Elgin",42.038210,-88.285119,"60120",0,0,0
60123,17089,"Kane","IL","60123 Elgin",42.037463,-88.330001,"",0,0,0
60125,17043,"DuPage","IL","60125 Carol Stream",41.851808,-88.028803,"60148",0,0,0
60126,17043,"DuPage","IL","60126 Elmhurst",41.893662,-87.946051,"",0,0,0
60128,17043,"DuPage","IL","60128 Carol Stream",41.916966,-88.103568,"60188",0,0,0
60129,17141,"Ogle","IL","60129 Esmond",42.022444,-88.949483,"",0,0,0
60130,17031,"Cook","IL","60130 Forest Park",41.875829,-87.809324,"",0,0,0
60131,17031,"Cook","IL","60131 Franklin Park",41.933845,-87.870304,"",0,0,0
60132,17043,"DuPage","IL","60132 Carol Stream",41.916961,-88.103624,"60188",0,0,0
60133,17043,"DuPage","IL","60133 Hanover Park",41.978531,-88.144840,"",0,0,0
60134,17089,"Kane","IL","60134 Geneva",41.884330,-88.325579,"",0,0,0
60135,17037,"DeKalb","IL","60135 Genoa",42.097272,-88.691005,"",0,0,0
60136,17089,"Kane","IL","60136 Gilberts",42.103222,-88.376128,"",0,0,0
60137,17043,"DuPage","IL","60137 Glen Ellyn",41.861144,-88.064612,"",0,0,0
60138,17043,"DuPage","IL","60138 Glen Ellyn",41.862140,-88.055100,"60137",0,0,0
60139,17043,"DuPage","IL","60139 Glendale Heights",41.919416,-88.073229,"",0,0,0
60140,17089,"Kane","IL","60140 Hampshire",42.094247,-88.531287,"",0,0,0
60141,17031,"Cook","IL","60141 Hines",41.862036,-87.840132,"",0,0,0
60142,17111,"McHenry","IL","60142 Huntley",42.169316,-88.426290,"",0,0,0
60143,17043,"DuPage","IL","60143 Itasca",41.977655,-88.019594,"",0,0,0
60144,17089,"Kane","IL","60144 Kaneville",41.835090,-88.521908,"60119",0,0,0
60145,17037,"DeKalb","IL","60145 Kingston",42.091779,-88.781734,"",0,0,0
60146,17037,"DeKalb","IL","60146 Kirkland",42.088406,-88.881568,"",0,0,0
60147,17089,"Kane","IL","60147 Lafox",41.882287,-88.399723,"60134",0,0,0
60148,17043,"DuPage","IL","60148 Lombard",41.872228,-88.016260,"",0,0,0
60150,17037,"DeKalb","IL","60150 Malta",41.914545,-88.886715,"",0,0,0
60151,17089,"Kane","IL","60151 Maple Park",41.946804,-88.537226,"",0,0,0
60152,17111,"McHenry","IL","60152 Marengo",42.247910,-88.606672,"",0,0,0
60153,17031,"Cook","IL","60153 Maywood",41.879903,-87.843823,"",0,0,0
60154,17031,"Cook","IL","60154 Westchester",41.852843,-87.885618,"",0,0,0
60155,17031,"Cook","IL","60155 Broadview",41.858643,-87.852810,"",0,0,0
60156,17111,"McHenry","IL","60156 Lake in the Hills",42.188059,-88.342839,"",0,0,0
60157,17043,"DuPage","IL","60157 Medinah",41.974317,-88.051516,"",0,0,0
60159,17031,"Cook","IL","60159 Schaumburg",42.026989,-88.090369,"60194",0,0,0
60160,17031,"Cook","IL","60160 Melrose Park",41.900187,-87.858052,"",0,0,0
