FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17000,Illinois,,138395,324,323,326,,,,6064,51.0,49.7,52.3,,,,7121,6,6,7,,,,11,10,12,10,9,11,9,,,35441,330,1506060,12,573012,4,5951,15,18.9,7321,8,8,8,32,31,34,807162,10,10,10,88570,3,3,3,9981,65,1533:1,13,60977,60517,61437,,,,50,72,54,7,6,7,6184,10,9,10,12801539,22.9,14.6,1809534,14.1,75564,0.6,708794,5.5,8276,0.1,2181439,17.0,7896462,61.7,539505,4.5,4.4,4.5,50.9,1477079,11.5,
17001,Illinois,Adams,860,360,335,385,433,,361,39,64.4,45.8,88.0,,,,32,6,4,8,,,,11,10,11,11,10,11,11,8,15,44,79,8310,12,2128,3,35,17,6.0,42,9,7,12,29,28,30,2584,7,6,8,414,3,2,3,9610,102,979:1,13,51130,47677,54583,27734,64210,49199,51,47,40,3,2,5,26,8,5,11,66578,22.6,19.4,2499,3.8,158,0.2,510,0.8,21,0.0,1018,1.5,61259,92.0,171,0.3,0.0,0.5,51.1,21875,32.6,
17003,Illinois,Alexander,166,619,518,719,778,,554,,,,,,,,,,,,,,,17,17,18,15,15,16,12,9,16,19,342,1710,23,1030,13,,,7.0,10,19,9,35,36,35,38,338,9,7,10,34,2,1,3,9712,31,3239:1,,33344,29556,37132,17976,28750,35313,100,59,58,,,,,,,,6478,23.7,20.1,2142,33.1,30,0.5,13,0.2,11,0.2,129,2.0,4020,62.1,13,0.2,0.0,1.3,51.8,5096,61.9,
17005,Illinois,Bond,231,376,326,425,,,,,,,,,,,,,,,,,,12,11,12,11,11,12,10,7,13,12,82,2120,12,482,3,13,25,5.0,28,23,15,33,31,30,32,656,7,6,8,100,3,2,4,10668,53,1869:1,,53631,47985,59277,56372,,52123,47,50,35,,,,,,,,16824,19.2,17.3,1075,6.4,112,0.7,113,0.7,6,0.0,625,3.7,14713,87.5,36,0.2,0.0,0.7,47.4,10792,60.7,
17007,Illinois,Boone,526,284,259,308,,209,298,10,17.8,8.6,32.8,,,,20,5,3,8,,,,11,11,12,11,10,11,10,7,13,40,91,3900,7,2607,5,27,17,5.0,42,11,8,15,31,30,32,3120,10,8,11,545,4,3,5,10261,15,6688:1,15,62081,55038,69124,69750,51021,61908,53,37,23,,,,17,6,4,10,53503,25.6,14.8,1180,2.2,382,0.7,717,1.3,53,0.1,11362,21.2,39490,73.8,1917,3.8,2.7,4.8,50.1,10488,19.4,
17009,Illinois,Brown,54,254,191,331,,,,,,,,,,,,,,,,,,11,10,11,10,10,10,8,6,11,15,248,780,11,906,13,,,5.0,,,,,33,32,34,159,6,5,7,28,3,2,3,8337,15,6762:1,,51826,45504,58148,,,,41,,,,,,,,,,6762,15.2,13.5,1286,19.0,83,1.2,22,0.3,2,0.0,429,6.3,4980,73.6,36,0.5,,,35.2,2849,41.1,
17011,Illinois,Bureau,454,365,329,400,,,,11,37.3,18.6,66.8,,,,,,,,,,,11,11,12,11,11,11,11,8,14,19,67,3540,10,3727,11,21,21,8.0,36,15,11,21,31,30,32,1501,8,7,9,239,3,2,4,8961,57,1756:1,13,53410,48929,57891,53237,42168,51715,51,74,47,,,,14,8,5,14,33359,21.7,20.9,233,0.7,147,0.4,298,0.9,13,0.0,3004,9.0,29396,88.1,370,1.2,0.7,1.6,50.9,20074,57.4,
17013,Illinois,Calhoun,45,218,154,299,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,12,8,16,,,580,12,219,4,,,6.0,,,,,30,29,32,182,7,5,8,41,4,3,5,8471,20,4894:1,,50952,44691,57213,,,,42,,,,,,,,,,4894,20.6,23.2,19,0.4,9,0.2,12,0.2,0,0.0,56,1.1,4773,97.5,0,0.0,0.0,1.1,50.2,5089,100.0,
17015,Illinois,Carroll,214,344,293,395,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,,,1620,11,968,6,,,6.0,25,24,16,35,28,27,29,619,7,6,9,112,4,3,5,8190,21,4846:1,,50330,44479,56181,9663,38625,50923,45,,19,,,,,,,,14539,19.4,24.3,149,1.0,64,0.4,89,0.6,5,0.0,519,3.6,13565,93.3,116,0.8,0.2,1.5,50.1,12598,81.9,
17017,Illinois,Cass,194,424,363,485,,,,10,79.5,38.1,146.3,,,,,,,,,,,11,11,12,11,11,11,10,7,14,,,1170,9,396,3,,,6.0,14,15,8,25,31,30,32,771,10,8,12,135,4,3,6,9102,63,1585:1,21,47511,42166,52856,33977,41071,51325,68,34,39,,,,,,,,12676,23.9,17.1,468,3.7,82,0.6,75,0.6,14,0.1,2337,18.4,9680,76.4,699,5.7,4.2,7.2,49.5,7112,52.1,
