 
"State","IL"
"County","Adams"
"Fast-food restaurants, 2011","31"
"Fast-food restaurants, 2016","34"
"Fast-food restaurants (% change), 2011-16","9.677419"
"Fast-food restaurants/1,000 pop, 2011","0.461303"
"Fast-food restaurants/1,000 pop, 2016","0.509952"
"Fast-food restaurants/1,000 pop (% change), 2011-16","10.545982"
"Full-service restaurants, 2011","50"
"Full-service restaurants, 2016","54"
"Full-service restaurants (% change), 2011-16","8"
"Full-service restaurants/1,000 pop, 2011","0.744037"
"Full-service restaurants/1,000 pop, 2016","0.809923"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.855279"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
