 
"State","IL"
"County","Alexander"
"Fast-food restaurants, 2011","0"
"Fast-food restaurants, 2016","1"
"Fast-food restaurants (% change), 2011-16","Null"
"Fast-food restaurants/1,000 pop, 2011","0"
"Fast-food restaurants/1,000 pop, 2016","0.154059"
"Fast-food restaurants/1,000 pop (% change), 2011-16","Null"
"Full-service restaurants, 2011","6"
"Full-service restaurants, 2016","5"
"Full-service restaurants (% change), 2011-16","-16.666667"
"Full-service restaurants/1,000 pop, 2011","0.750845"
"Full-service restaurants/1,000 pop, 2016","0.770297"
"Full-service restaurants/1,000 pop (% change), 2011-16","2.590767"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
