 
"State","IL"
"County","Bond"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","28.571429"
"Fast-food restaurants/1,000 pop, 2011","0.395056"
"Fast-food restaurants/1,000 pop, 2016","0.53441"
"Fast-food restaurants/1,000 pop (% change), 2011-16","35.274458"
"Full-service restaurants, 2011","12"
"Full-service restaurants, 2016","9"
"Full-service restaurants (% change), 2011-16","-25"
"Full-service restaurants/1,000 pop, 2011","0.677239"
"Full-service restaurants/1,000 pop, 2016","0.53441"
"Full-service restaurants/1,000 pop (% change), 2011-16","-21.0899"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
