 
"State","IL"
"County","Boone"
"Fast-food restaurants, 2011","26"
"Fast-food restaurants, 2016","27"
"Fast-food restaurants (% change), 2011-16","3.846154"
"Fast-food restaurants/1,000 pop, 2011","0.480325"
"Fast-food restaurants/1,000 pop, 2016","0.504089"
"Fast-food restaurants/1,000 pop (% change), 2011-16","4.947394"
"Full-service restaurants, 2011","16"
"Full-service restaurants, 2016","16"
"Full-service restaurants (% change), 2011-16","0"
"Full-service restaurants/1,000 pop, 2011","0.295585"
"Full-service restaurants/1,000 pop, 2016","0.298719"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.060453"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
