 
"State","IL"
"County","Brown"
"Fast-food restaurants, 2011","2"
"Fast-food restaurants, 2016","4"
"Fast-food restaurants (% change), 2011-16","100"
"Fast-food restaurants/1,000 pop, 2011","0.290782"
"Fast-food restaurants/1,000 pop, 2016","0.59312"
"Fast-food restaurants/1,000 pop (% change), 2011-16","103.973903"
"Full-service restaurants, 2011","3"
"Full-service restaurants, 2016","1"
"Full-service restaurants (% change), 2011-16","-66.666667"
"Full-service restaurants/1,000 pop, 2011","0.436173"
"Full-service restaurants/1,000 pop, 2016","0.14828"
"Full-service restaurants/1,000 pop (% change), 2011-16","-66.00435"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
