 
"State","IL"
"County","Bureau"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","12"
"Fast-food restaurants (% change), 2011-16","33.333333"
"Fast-food restaurants/1,000 pop, 2011","0.259995"
"Fast-food restaurants/1,000 pop, 2016","0.358927"
"Fast-food restaurants/1,000 pop (% change), 2011-16","38.051227"
"Full-service restaurants, 2011","33"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","-18.181818"
"Full-service restaurants/1,000 pop, 2011","0.953316"
"Full-service restaurants/1,000 pop, 2016","0.807585"
"Full-service restaurants/1,000 pop (% change), 2011-16","-15.286747"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
