 
"State","IL"
"County","Calhoun"
"Fast-food restaurants, 2011","1"
"Fast-food restaurants, 2016","1"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.198098"
"Fast-food restaurants/1,000 pop, 2016","0.205804"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.889689"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","14"
"Full-service restaurants (% change), 2011-16","27.272727"
"Full-service restaurants/1,000 pop, 2011","2.179081"
"Full-service restaurants/1,000 pop, 2016","2.881251"
"Full-service restaurants/1,000 pop (% change), 2011-16","32.223241"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
