 
"State","IL"
"County","Carroll"
"Fast-food restaurants, 2011","11"
"Fast-food restaurants, 2016","11"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.722733"
"Fast-food restaurants/1,000 pop, 2016","0.752857"
"Fast-food restaurants/1,000 pop (% change), 2011-16","4.168093"
"Full-service restaurants, 2011","10"
"Full-service restaurants, 2016","13"
"Full-service restaurants (% change), 2011-16","30"
"Full-service restaurants/1,000 pop, 2011","0.65703"
"Full-service restaurants/1,000 pop, 2016","0.889741"
"Full-service restaurants/1,000 pop (% change), 2011-16","35.41852"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
