 
"State","IL"
"County","Cass"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","7"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.513912"
"Fast-food restaurants/1,000 pop, 2016","0.552007"
"Fast-food restaurants/1,000 pop (% change), 2011-16","7.412665"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","12"
"Full-service restaurants (% change), 2011-16","9.090909"
"Full-service restaurants/1,000 pop, 2011","0.807577"
"Full-service restaurants/1,000 pop, 2016","0.946298"
"Full-service restaurants/1,000 pop (% change), 2011-16","17.177452"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
