 
"State","IL"
"County","Champaign"
"Fast-food restaurants, 2011","158"
"Fast-food restaurants, 2016","184"
"Fast-food restaurants (% change), 2011-16","16.455696"
"Fast-food restaurants/1,000 pop, 2011","0.778958"
"Fast-food restaurants/1,000 pop, 2016","0.87926"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.876331"
"Full-service restaurants, 2011","162"
"Full-service restaurants, 2016","185"
"Full-service restaurants (% change), 2011-16","14.197531"
"Full-service restaurants/1,000 pop, 2011","0.798679"
"Full-service restaurants/1,000 pop, 2016","0.884038"
"Full-service restaurants/1,000 pop (% change), 2011-16","10.687572"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
