 
"State","IL"
"County","Christian"
"Fast-food restaurants, 2011","17"
"Fast-food restaurants, 2016","16"
"Fast-food restaurants (% change), 2011-16","-5.882353"
"Fast-food restaurants/1,000 pop, 2011","0.489871"
"Fast-food restaurants/1,000 pop, 2016","0.480899"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-1.831484"
"Full-service restaurants, 2011","24"
"Full-service restaurants, 2016","24"
"Full-service restaurants (% change), 2011-16","0"
"Full-service restaurants/1,000 pop, 2011","0.691583"
"Full-service restaurants/1,000 pop, 2016","0.721349"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.304049"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
