 
"State","IL"
"County","Clark"
"Fast-food restaurants, 2011","11"
"Fast-food restaurants, 2016","13"
"Fast-food restaurants (% change), 2011-16","18.181818"
"Fast-food restaurants/1,000 pop, 2011","0.679012"
"Fast-food restaurants/1,000 pop, 2016","0.820293"
"Fast-food restaurants/1,000 pop (% change), 2011-16","20.806755"
"Full-service restaurants, 2011","20"
"Full-service restaurants, 2016","17"
"Full-service restaurants (% change), 2011-16","-15"
"Full-service restaurants/1,000 pop, 2011","1.234568"
"Full-service restaurants/1,000 pop, 2016","1.072691"
"Full-service restaurants/1,000 pop (% change), 2011-16","-13.112065"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
