 
"State","IL"
"County","Clay"
"Fast-food restaurants, 2011","8"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","12.5"
"Fast-food restaurants/1,000 pop, 2011","0.58309"
"Fast-food restaurants/1,000 pop, 2016","0.676133"
"Fast-food restaurants/1,000 pop (% change), 2011-16","15.956728"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","12"
"Full-service restaurants (% change), 2011-16","33.333333"
"Full-service restaurants/1,000 pop, 2011","0.655977"
"Full-service restaurants/1,000 pop, 2016","0.90151"
"Full-service restaurants/1,000 pop (% change), 2011-16","37.430196"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
