 
"State","IL"
"County","Clinton"
"Fast-food restaurants, 2011","21"
"Fast-food restaurants, 2016","17"
"Fast-food restaurants (% change), 2011-16","-19.047619"
"Fast-food restaurants/1,000 pop, 2011","0.552326"
"Fast-food restaurants/1,000 pop, 2016","0.452549"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-18.064941"
"Full-service restaurants, 2011","33"
"Full-service restaurants, 2016","34"
"Full-service restaurants (% change), 2011-16","3.030303"
"Full-service restaurants/1,000 pop, 2011","0.867941"
"Full-service restaurants/1,000 pop, 2016","0.905098"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.280984"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
