 
"State","IL"
"County","Coles"
"Fast-food restaurants, 2011","42"
"Fast-food restaurants, 2016","44"
"Fast-food restaurants (% change), 2011-16","4.761905"
"Fast-food restaurants/1,000 pop, 2011","0.783524"
"Fast-food restaurants/1,000 pop, 2016","0.839502"
"Fast-food restaurants/1,000 pop (% change), 2011-16","7.144493"
"Full-service restaurants, 2011","43"
"Full-service restaurants, 2016","44"
"Full-service restaurants (% change), 2011-16","2.325581"
"Full-service restaurants/1,000 pop, 2011","0.802179"
"Full-service restaurants/1,000 pop, 2016","0.839502"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.65276"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
