 
"State","IL"
"County","Cook"
"Fast-food restaurants, 2011","4106"
"Fast-food restaurants, 2016","4642"
"Fast-food restaurants (% change), 2011-16","13.054067"
"Fast-food restaurants/1,000 pop, 2011","0.787035"
"Fast-food restaurants/1,000 pop, 2016","0.887342"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.744881"
"Full-service restaurants, 2011","3540"
"Full-service restaurants, 2016","4074"
"Full-service restaurants (% change), 2011-16","15.084746"
"Full-service restaurants/1,000 pop, 2011","0.678545"
"Full-service restaurants/1,000 pop, 2016","0.778766"
"Full-service restaurants/1,000 pop (% change), 2011-16","14.770006"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
