 
"State","IL"
"County","Crawford"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","14"
"Fast-food restaurants (% change), 2011-16","55.555556"
"Fast-food restaurants/1,000 pop, 2011","0.455235"
"Fast-food restaurants/1,000 pop, 2016","0.731376"
"Fast-food restaurants/1,000 pop (% change), 2011-16","60.658935"
"Full-service restaurants, 2011","13"
"Full-service restaurants, 2016","12"
"Full-service restaurants (% change), 2011-16","-7.692308"
"Full-service restaurants/1,000 pop, 2011","0.657562"
"Full-service restaurants/1,000 pop, 2016","0.626894"
"Full-service restaurants/1,000 pop (% change), 2011-16","-4.663929"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
