 
"State","IL"
"County","Cumberland"
"Fast-food restaurants, 2011","3"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.270807"
"Fast-food restaurants/1,000 pop, 2016","0.275432"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.707675"
"Full-service restaurants, 2011","4"
"Full-service restaurants, 2016","4"
"Full-service restaurants (% change), 2011-16","0"
"Full-service restaurants/1,000 pop, 2011","0.361076"
"Full-service restaurants/1,000 pop, 2016","0.367242"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.707675"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
