 
"State","IL"
"County","De Witt"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","11"
"Fast-food restaurants (% change), 2011-16","22.222222"
"Fast-food restaurants/1,000 pop, 2011","0.54384"
"Fast-food restaurants/1,000 pop, 2016","0.680735"
"Fast-food restaurants/1,000 pop (% change), 2011-16","25.172075"
"Full-service restaurants, 2011","15"
"Full-service restaurants, 2016","15"
"Full-service restaurants (% change), 2011-16","0"
"Full-service restaurants/1,000 pop, 2011","0.906399"
"Full-service restaurants/1,000 pop, 2016","0.928275"
"Full-service restaurants/1,000 pop (% change), 2011-16","2.413516"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
