 
"State","IL"
"County","DeKalb"
"Fast-food restaurants, 2011","74"
"Fast-food restaurants, 2016","81"
"Fast-food restaurants (% change), 2011-16","9.459459"
"Fast-food restaurants/1,000 pop, 2011","0.708744"
"Fast-food restaurants/1,000 pop, 2016","0.775513"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.420684"
"Full-service restaurants, 2011","68"
"Full-service restaurants, 2016","71"
"Full-service restaurants (% change), 2011-16","4.411765"
"Full-service restaurants/1,000 pop, 2011","0.651279"
"Full-service restaurants/1,000 pop, 2016","0.679771"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.374777"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
