 
"State","IL"
"County","Douglas"
"Fast-food restaurants, 2011","15"
"Fast-food restaurants, 2016","18"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.754945"
"Fast-food restaurants/1,000 pop, 2016","0.910516"
"Fast-food restaurants/1,000 pop (% change), 2011-16","20.607011"
"Full-service restaurants, 2011","21"
"Full-service restaurants, 2016","19"
"Full-service restaurants (% change), 2011-16","-9.52381"
"Full-service restaurants/1,000 pop, 2011","1.056923"
"Full-service restaurants/1,000 pop, 2016","0.961101"
"Full-service restaurants/1,000 pop (% change), 2011-16","-9.066143"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
