 
"State","IL"
"County","DuPage"
"Fast-food restaurants, 2011","838"
"Fast-food restaurants, 2016","875"
"Fast-food restaurants (% change), 2011-16","4.415274"
"Fast-food restaurants/1,000 pop, 2011","0.906513"
"Fast-food restaurants/1,000 pop, 2016","0.939695"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.660379"
"Full-service restaurants, 2011","672"
"Full-service restaurants, 2016","725"
"Full-service restaurants (% change), 2011-16","7.886905"
"Full-service restaurants/1,000 pop, 2011","0.726942"
"Full-service restaurants/1,000 pop, 2016","0.778605"
"Full-service restaurants/1,000 pop (% change), 2011-16","7.10691"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
