 
"State","IL"
"County","Edgar"
"Fast-food restaurants, 2011","10"
"Fast-food restaurants, 2016","12"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.543892"
"Fast-food restaurants/1,000 pop, 2016","0.686813"
"Fast-food restaurants/1,000 pop (% change), 2011-16","26.277473"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","15"
"Full-service restaurants (% change), 2011-16","36.363636"
"Full-service restaurants/1,000 pop, 2011","0.598281"
"Full-service restaurants/1,000 pop, 2016","0.858516"
"Full-service restaurants/1,000 pop (% change), 2011-16","43.497128"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
