 
"State","IL"
"County","Edwards"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","4"
"Fast-food restaurants (% change), 2011-16","-42.857143"
"Fast-food restaurants/1,000 pop, 2011","1.049948"
"Fast-food restaurants/1,000 pop, 2016","0.611154"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-41.79199"
"Full-service restaurants, 2011","1"
"Full-service restaurants, 2016","3"
"Full-service restaurants (% change), 2011-16","200"
"Full-service restaurants/1,000 pop, 2011","0.149993"
"Full-service restaurants/1,000 pop, 2016","0.458365"
"Full-service restaurants/1,000 pop (% change), 2011-16","205.592055"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
