 
"State","IL"
"County","Effingham"
"Fast-food restaurants, 2011","35"
"Fast-food restaurants, 2016","41"
"Fast-food restaurants (% change), 2011-16","17.142857"
"Fast-food restaurants/1,000 pop, 2011","1.021659"
"Fast-food restaurants/1,000 pop, 2016","1.199462"
"Fast-food restaurants/1,000 pop (% change), 2011-16","17.403312"
"Full-service restaurants, 2011","24"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","12.5"
"Full-service restaurants/1,000 pop, 2011","0.700566"
"Full-service restaurants/1,000 pop, 2016","0.789889"
"Full-service restaurants/1,000 pop (% change), 2011-16","12.750132"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
