 
"State","IL"
"County","Fayette"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","11"
"Fast-food restaurants (% change), 2011-16","22.222222"
"Fast-food restaurants/1,000 pop, 2011","0.402307"
"Fast-food restaurants/1,000 pop, 2016","0.504217"
"Fast-food restaurants/1,000 pop (% change), 2011-16","25.331561"
"Full-service restaurants, 2011","20"
"Full-service restaurants, 2016","19"
"Full-service restaurants (% change), 2011-16","-5"
"Full-service restaurants/1,000 pop, 2011","0.894015"
"Full-service restaurants/1,000 pop, 2016","0.87092"
"Full-service restaurants/1,000 pop (% change), 2011-16","-2.583196"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
