 
"State","IL"
"County","Ford"
"Fast-food restaurants, 2011","10"
"Fast-food restaurants, 2016","8"
"Fast-food restaurants (% change), 2011-16","-20"
"Fast-food restaurants/1,000 pop, 2011","0.720617"
"Fast-food restaurants/1,000 pop, 2016","0.59961"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-16.792085"
"Full-service restaurants, 2011","13"
"Full-service restaurants, 2016","15"
"Full-service restaurants (% change), 2011-16","15.384615"
"Full-service restaurants/1,000 pop, 2011","0.936802"
"Full-service restaurants/1,000 pop, 2016","1.124269"
"Full-service restaurants/1,000 pop (% change), 2011-16","20.011416"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
