 
"State","IL"
"County","Franklin"
"Fast-food restaurants, 2011","23"
"Fast-food restaurants, 2016","23"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.574741"
"Fast-food restaurants/1,000 pop, 2016","0.588356"
"Fast-food restaurants/1,000 pop (% change), 2011-16","2.368771"
"Full-service restaurants, 2011","26"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","3.846154"
"Full-service restaurants/1,000 pop, 2011","0.649708"
"Full-service restaurants/1,000 pop, 2016","0.690678"
"Full-service restaurants/1,000 pop (% change), 2011-16","6.306032"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
