 
"State","IL"
"County","Fulton"
"Fast-food restaurants, 2011","19"
"Fast-food restaurants, 2016","20"
"Fast-food restaurants (% change), 2011-16","5.263158"
"Fast-food restaurants/1,000 pop, 2011","0.514821"
"Fast-food restaurants/1,000 pop, 2016","0.563111"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.379793"
"Full-service restaurants, 2011","31"
"Full-service restaurants, 2016","34"
"Full-service restaurants (% change), 2011-16","9.677419"
"Full-service restaurants/1,000 pop, 2011","0.839972"
"Full-service restaurants/1,000 pop, 2016","0.957288"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.966687"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
