 
"State","IL"
"County","Gallatin"
"Fast-food restaurants, 2011","0"
"Fast-food restaurants, 2016","0"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0"
"Fast-food restaurants/1,000 pop, 2016","0"
"Fast-food restaurants/1,000 pop (% change), 2011-16","0"
"Full-service restaurants, 2011","4"
"Full-service restaurants, 2016","5"
"Full-service restaurants (% change), 2011-16","25"
"Full-service restaurants/1,000 pop, 2011","0.728597"
"Full-service restaurants/1,000 pop, 2016","0.968429"
"Full-service restaurants/1,000 pop (% change), 2011-16","32.916909"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
