 
"State","IL"
"County","Greene"
"Fast-food restaurants, 2011","5"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.360907"
"Fast-food restaurants/1,000 pop, 2016","0.457352"
"Fast-food restaurants/1,000 pop (% change), 2011-16","26.723073"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","7"
"Full-service restaurants (% change), 2011-16","-22.222222"
"Full-service restaurants/1,000 pop, 2011","0.649632"
"Full-service restaurants/1,000 pop, 2016","0.533577"
"Full-service restaurants/1,000 pop (% change), 2011-16","-17.864675"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
