 
"State","IL"
"County","Grundy"
"Fast-food restaurants, 2011","33"
"Fast-food restaurants, 2016","41"
"Fast-food restaurants (% change), 2011-16","24.242424"
"Fast-food restaurants/1,000 pop, 2011","0.65884"
"Fast-food restaurants/1,000 pop, 2016","0.815612"
"Fast-food restaurants/1,000 pop (% change), 2011-16","23.795073"
"Full-service restaurants, 2011","32"
"Full-service restaurants, 2016","37"
"Full-service restaurants (% change), 2011-16","15.625"
"Full-service restaurants/1,000 pop, 2011","0.638876"
"Full-service restaurants/1,000 pop, 2016","0.73604"
"Full-service restaurants/1,000 pop (% change), 2011-16","15.208677"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
