 
"State","IL"
"County","Hamilton"
"Fast-food restaurants, 2011","6"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","-50"
"Fast-food restaurants/1,000 pop, 2011","0.712335"
"Fast-food restaurants/1,000 pop, 2016","0.365898"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-48.63398"
"Full-service restaurants, 2011","2"
"Full-service restaurants, 2016","5"
"Full-service restaurants (% change), 2011-16","150"
"Full-service restaurants/1,000 pop, 2011","0.237445"
"Full-service restaurants/1,000 pop, 2016","0.60983"
"Full-service restaurants/1,000 pop (% change), 2011-16","156.830101"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
