 
"State","IL"
"County","Hancock"
"Fast-food restaurants, 2011","8"
"Fast-food restaurants, 2016","10"
"Fast-food restaurants (% change), 2011-16","25"
"Fast-food restaurants/1,000 pop, 2011","0.421141"
"Fast-food restaurants/1,000 pop, 2016","0.548878"
"Fast-food restaurants/1,000 pop (% change), 2011-16","30.330973"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","6"
"Full-service restaurants (% change), 2011-16","-45.454545"
"Full-service restaurants/1,000 pop, 2011","0.579069"
"Full-service restaurants/1,000 pop, 2016","0.329327"
"Full-service restaurants/1,000 pop (% change), 2011-16","-43.128303"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
