 
"State","IL"
"County","Henderson"
"Fast-food restaurants, 2011","1"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","200"
"Fast-food restaurants/1,000 pop, 2011","0.1386"
"Fast-food restaurants/1,000 pop, 2016","0.436427"
"Fast-food restaurants/1,000 pop (% change), 2011-16","214.882165"
"Full-service restaurants, 2011","4"
"Full-service restaurants, 2016","3"
"Full-service restaurants (% change), 2011-16","-25"
"Full-service restaurants/1,000 pop, 2011","0.554401"
"Full-service restaurants/1,000 pop, 2016","0.436427"
"Full-service restaurants/1,000 pop (% change), 2011-16","-21.279459"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
