 
"State","IL"
"County","Henry"
"Fast-food restaurants, 2011","25"
"Fast-food restaurants, 2016","23"
"Fast-food restaurants (% change), 2011-16","-8"
"Fast-food restaurants/1,000 pop, 2011","0.497206"
"Fast-food restaurants/1,000 pop, 2016","0.464421"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-6.593732"
"Full-service restaurants, 2011","36"
"Full-service restaurants, 2016","45"
"Full-service restaurants (% change), 2011-16","25"
"Full-service restaurants/1,000 pop, 2011","0.715976"
"Full-service restaurants/1,000 pop, 2016","0.90865"
"Full-service restaurants/1,000 pop (% change), 2011-16","26.91069"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
