 
"State","IL"
"County","Iroquois"
"Fast-food restaurants, 2011","23"
"Fast-food restaurants, 2016","17"
"Fast-food restaurants (% change), 2011-16","-26.086957"
"Fast-food restaurants/1,000 pop, 2011","0.779793"
"Fast-food restaurants/1,000 pop, 2016","0.602538"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-22.731083"
"Full-service restaurants, 2011","18"
"Full-service restaurants, 2016","17"
"Full-service restaurants (% change), 2011-16","-5.555556"
"Full-service restaurants/1,000 pop, 2011","0.610273"
"Full-service restaurants/1,000 pop, 2016","0.602538"
"Full-service restaurants/1,000 pop (% change), 2011-16","-1.267495"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
