 
"State","IL"
"County","Jackson"
"Fast-food restaurants, 2011","36"
"Fast-food restaurants, 2016","44"
"Fast-food restaurants (% change), 2011-16","22.222222"
"Fast-food restaurants/1,000 pop, 2011","0.596718"
"Fast-food restaurants/1,000 pop, 2016","0.745358"
"Fast-food restaurants/1,000 pop (% change), 2011-16","24.909654"
"Full-service restaurants, 2011","54"
"Full-service restaurants, 2016","50"
"Full-service restaurants (% change), 2011-16","-7.407407"
"Full-service restaurants/1,000 pop, 2011","0.895077"
"Full-service restaurants/1,000 pop, 2016","0.846998"
"Full-service restaurants/1,000 pop (% change), 2011-16","-5.371475"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
