 
"State","IL"
"County","Jasper"
"Fast-food restaurants, 2011","5"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.512873"
"Fast-food restaurants/1,000 pop, 2016","0.625456"
"Fast-food restaurants/1,000 pop (% change), 2011-16","21.951423"
"Full-service restaurants, 2011","6"
"Full-service restaurants, 2016","4"
"Full-service restaurants (% change), 2011-16","-33.333333"
"Full-service restaurants/1,000 pop, 2011","0.615448"
"Full-service restaurants/1,000 pop, 2016","0.416971"
"Full-service restaurants/1,000 pop (% change), 2011-16","-32.249209"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
