 
"State","IL"
"County","Jefferson"
"Fast-food restaurants, 2011","23"
"Fast-food restaurants, 2016","31"
"Fast-food restaurants (% change), 2011-16","34.782609"
"Fast-food restaurants/1,000 pop, 2011","0.593671"
"Fast-food restaurants/1,000 pop, 2016","0.80923"
"Fast-food restaurants/1,000 pop (% change), 2011-16","36.309591"
"Full-service restaurants, 2011","29"
"Full-service restaurants, 2016","26"
"Full-service restaurants (% change), 2011-16","-10.344828"
"Full-service restaurants/1,000 pop, 2011","0.748542"
"Full-service restaurants/1,000 pop, 2016","0.678709"
"Full-service restaurants/1,000 pop (% change), 2011-16","-9.329104"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
