 
"State","IL"
"County","Jersey"
"Fast-food restaurants, 2011","11"
"Fast-food restaurants, 2016","14"
"Fast-food restaurants (% change), 2011-16","27.272727"
"Fast-food restaurants/1,000 pop, 2011","0.481569"
"Fast-food restaurants/1,000 pop, 2016","0.637959"
"Fast-food restaurants/1,000 pop (% change), 2011-16","32.474989"
"Full-service restaurants, 2011","16"
"Full-service restaurants, 2016","20"
"Full-service restaurants (% change), 2011-16","25"
"Full-service restaurants/1,000 pop, 2011","0.700464"
"Full-service restaurants/1,000 pop, 2016","0.911369"
"Full-service restaurants/1,000 pop (% change), 2011-16","30.109364"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
