 
"State","IL"
"County","Jo Daviess"
"Fast-food restaurants, 2011","12"
"Fast-food restaurants, 2016","11"
"Fast-food restaurants (% change), 2011-16","-8.333333"
"Fast-food restaurants/1,000 pop, 2011","0.530316"
"Fast-food restaurants/1,000 pop, 2016","0.503179"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-5.11718"
"Full-service restaurants, 2011","41"
"Full-service restaurants, 2016","36"
"Full-service restaurants (% change), 2011-16","-12.195122"
"Full-service restaurants/1,000 pop, 2011","1.811914"
"Full-service restaurants/1,000 pop, 2016","1.646768"
"Full-service restaurants/1,000 pop (% change), 2011-16","-9.11446"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
