 
"State","IL"
"County","Johnson"
"Fast-food restaurants, 2011","6"
"Fast-food restaurants, 2016","4"
"Fast-food restaurants (% change), 2011-16","-33.333333"
"Fast-food restaurants/1,000 pop, 2011","0.466744"
"Fast-food restaurants/1,000 pop, 2016","0.308618"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-33.878559"
"Full-service restaurants, 2011","6"
"Full-service restaurants, 2016","7"
"Full-service restaurants (% change), 2011-16","16.666667"
"Full-service restaurants/1,000 pop, 2011","0.466744"
"Full-service restaurants/1,000 pop, 2016","0.540082"
"Full-service restaurants/1,000 pop (% change), 2011-16","15.712522"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
