 
"State","IL"
"County","Kane"
"Fast-food restaurants, 2011","321"
"Fast-food restaurants, 2016","333"
"Fast-food restaurants (% change), 2011-16","3.738318"
"Fast-food restaurants/1,000 pop, 2011","0.618355"
"Fast-food restaurants/1,000 pop, 2016","0.62529"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.12145"
"Full-service restaurants, 2011","284"
"Full-service restaurants, 2016","326"
"Full-service restaurants (% change), 2011-16","14.788732"
"Full-service restaurants/1,000 pop, 2011","0.547081"
"Full-service restaurants/1,000 pop, 2016","0.612146"
"Full-service restaurants/1,000 pop (% change), 2011-16","11.893111"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
