 
"State","IL"
"County","Kankakee"
"Fast-food restaurants, 2011","75"
"Fast-food restaurants, 2016","78"
"Fast-food restaurants (% change), 2011-16","4"
"Fast-food restaurants/1,000 pop, 2011","0.660927"
"Fast-food restaurants/1,000 pop, 2016","0.708749"
"Fast-food restaurants/1,000 pop (% change), 2011-16","7.235677"
"Full-service restaurants, 2011","61"
"Full-service restaurants, 2016","67"
"Full-service restaurants (% change), 2011-16","9.836066"
"Full-service restaurants/1,000 pop, 2011","0.537554"
"Full-service restaurants/1,000 pop, 2016","0.608798"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.253316"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
