 
"State","IL"
"County","Kendall"
"Fast-food restaurants, 2011","60"
"Fast-food restaurants, 2016","76"
"Fast-food restaurants (% change), 2011-16","26.666667"
"Fast-food restaurants/1,000 pop, 2011","0.513716"
"Fast-food restaurants/1,000 pop, 2016","0.610084"
"Fast-food restaurants/1,000 pop (% change), 2011-16","18.758961"
"Full-service restaurants, 2011","50"
"Full-service restaurants, 2016","66"
"Full-service restaurants (% change), 2011-16","32"
"Full-service restaurants/1,000 pop, 2011","0.428097"
"Full-service restaurants/1,000 pop, 2016","0.52981"
"Full-service restaurants/1,000 pop (% change), 2011-16","23.759338"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
