 
"State","IL"
"County","Knox"
"Fast-food restaurants, 2011","36"
"Fast-food restaurants, 2016","38"
"Fast-food restaurants (% change), 2011-16","5.555556"
"Fast-food restaurants/1,000 pop, 2011","0.683423"
"Fast-food restaurants/1,000 pop, 2016","0.745902"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.142103"
"Full-service restaurants, 2011","42"
"Full-service restaurants, 2016","41"
"Full-service restaurants (% change), 2011-16","-2.380952"
"Full-service restaurants/1,000 pop, 2011","0.797327"
"Full-service restaurants/1,000 pop, 2016","0.804789"
"Full-service restaurants/1,000 pop (% change), 2011-16","0.93593"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
