 
"State","IL"
"County","LaSalle"
"Fast-food restaurants, 2011","67"
"Fast-food restaurants, 2016","73"
"Fast-food restaurants (% change), 2011-16","8.955224"
"Fast-food restaurants/1,000 pop, 2011","0.590282"
"Fast-food restaurants/1,000 pop, 2016","0.660592"
"Fast-food restaurants/1,000 pop (% change), 2011-16","11.911125"
"Full-service restaurants, 2011","119"
"Full-service restaurants, 2016","120"
"Full-service restaurants (% change), 2011-16","0.840336"
"Full-service restaurants/1,000 pop, 2011","1.048412"
"Full-service restaurants/1,000 pop, 2016","1.085904"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.576084"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
