 
"State","IL"
"County","Lake"
"Fast-food restaurants, 2011","530"
"Fast-food restaurants, 2016","567"
"Fast-food restaurants (% change), 2011-16","6.981132"
"Fast-food restaurants/1,000 pop, 2011","0.755503"
"Fast-food restaurants/1,000 pop, 2016","0.804329"
"Fast-food restaurants/1,000 pop (% change), 2011-16","6.462719"
"Full-service restaurants, 2011","476"
"Full-service restaurants, 2016","504"
"Full-service restaurants (% change), 2011-16","5.882353"
"Full-service restaurants/1,000 pop, 2011","0.678528"
"Full-service restaurants/1,000 pop, 2016","0.71496"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.369264"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
