 
"State","IL"
"County","Lawrence"
"Fast-food restaurants, 2011","6"
"Fast-food restaurants, 2016","5"
"Fast-food restaurants (% change), 2011-16","-16.666667"
"Fast-food restaurants/1,000 pop, 2011","0.355072"
"Fast-food restaurants/1,000 pop, 2016","0.305941"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-13.836709"
"Full-service restaurants, 2011","10"
"Full-service restaurants, 2016","8"
"Full-service restaurants (% change), 2011-16","-20"
"Full-service restaurants/1,000 pop, 2011","0.591786"
"Full-service restaurants/1,000 pop, 2016","0.489506"
"Full-service restaurants/1,000 pop (% change), 2011-16","-17.283241"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
