 
"State","IL"
"County","Lee"
"Fast-food restaurants, 2011","18"
"Fast-food restaurants, 2016","14"
"Fast-food restaurants (% change), 2011-16","-22.222222"
"Fast-food restaurants/1,000 pop, 2011","0.505703"
"Fast-food restaurants/1,000 pop, 2016","0.406989"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-19.52027"
"Full-service restaurants, 2011","28"
"Full-service restaurants, 2016","33"
"Full-service restaurants (% change), 2011-16","17.857143"
"Full-service restaurants/1,000 pop, 2011","0.786649"
"Full-service restaurants/1,000 pop, 2016","0.95933"
"Full-service restaurants/1,000 pop (% change), 2011-16","21.951427"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
