 
"State","IL"
"County","Livingston"
"Fast-food restaurants, 2011","21"
"Fast-food restaurants, 2016","22"
"Fast-food restaurants (% change), 2011-16","4.761905"
"Fast-food restaurants/1,000 pop, 2011","0.541251"
"Fast-food restaurants/1,000 pop, 2016","0.603153"
"Fast-food restaurants/1,000 pop (% change), 2011-16","11.436796"
"Full-service restaurants, 2011","28"
"Full-service restaurants, 2016","29"
"Full-service restaurants (% change), 2011-16","3.571429"
"Full-service restaurants/1,000 pop, 2011","0.721668"
"Full-service restaurants/1,000 pop, 2016","0.795065"
"Full-service restaurants/1,000 pop (% change), 2011-16","10.170469"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
