 
"State","IL"
"County","Logan"
"Fast-food restaurants, 2011","16"
"Fast-food restaurants, 2016","14"
"Fast-food restaurants (% change), 2011-16","-12.5"
"Fast-food restaurants/1,000 pop, 2011","0.528891"
"Fast-food restaurants/1,000 pop, 2016","0.477197"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-9.774013"
"Full-service restaurants, 2011","23"
"Full-service restaurants, 2016","25"
"Full-service restaurants (% change), 2011-16","8.695652"
"Full-service restaurants/1,000 pop, 2011","0.76028"
"Full-service restaurants/1,000 pop, 2016","0.852137"
"Full-service restaurants/1,000 pop (% change), 2011-16","12.081971"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
