 
"State","IL"
"County","Macon"
"Fast-food restaurants, 2011","61"
"Fast-food restaurants, 2016","68"
"Fast-food restaurants (% change), 2011-16","11.47541"
"Fast-food restaurants/1,000 pop, 2011","0.551293"
"Fast-food restaurants/1,000 pop, 2016","0.637594"
"Fast-food restaurants/1,000 pop (% change), 2011-16","15.654261"
"Full-service restaurants, 2011","80"
"Full-service restaurants, 2016","94"
"Full-service restaurants (% change), 2011-16","17.5"
"Full-service restaurants/1,000 pop, 2011","0.723007"
"Full-service restaurants/1,000 pop, 2016","0.881379"
"Full-service restaurants/1,000 pop (% change), 2011-16","21.904694"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
