 
"State","IL"
"County","Madison"
"Fast-food restaurants, 2011","182"
"Fast-food restaurants, 2016","180"
"Fast-food restaurants (% change), 2011-16","-1.098901"
"Fast-food restaurants/1,000 pop, 2011","0.6776"
"Fast-food restaurants/1,000 pop, 2016","0.677716"
"Fast-food restaurants/1,000 pop (% change), 2011-16","0.017096"
"Full-service restaurants, 2011","180"
"Full-service restaurants, 2016","208"
"Full-service restaurants (% change), 2011-16","15.555556"
"Full-service restaurants/1,000 pop, 2011","0.670154"
"Full-service restaurants/1,000 pop, 2016","0.783138"
"Full-service restaurants/1,000 pop (% change), 2011-16","16.859481"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
