 
"State","IL"
"County","Marion"
"Fast-food restaurants, 2011","26"
"Fast-food restaurants, 2016","26"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.664316"
"Fast-food restaurants/1,000 pop, 2016","0.683024"
"Fast-food restaurants/1,000 pop (% change), 2011-16","2.816161"
"Full-service restaurants, 2011","21"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","28.571429"
"Full-service restaurants/1,000 pop, 2011","0.536563"
"Full-service restaurants/1,000 pop, 2016","0.709294"
"Full-service restaurants/1,000 pop (% change), 2011-16","32.192208"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
