 
"State","IL"
"County","Marshall"
"Fast-food restaurants, 2011","5"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.400673"
"Fast-food restaurants/1,000 pop, 2016","0.504286"
"Fast-food restaurants/1,000 pop (% change), 2011-16","25.859808"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","10"
"Full-service restaurants (% change), 2011-16","-9.090909"
"Full-service restaurants/1,000 pop, 2011","0.881481"
"Full-service restaurants/1,000 pop, 2016","0.840477"
"Full-service restaurants/1,000 pop (% change), 2011-16","-4.65166"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
