 
"State","IL"
"County","McDonough"
"Fast-food restaurants, 2011","28"
"Fast-food restaurants, 2016","23"
"Fast-food restaurants (% change), 2011-16","-17.857143"
"Fast-food restaurants/1,000 pop, 2011","0.861459"
"Fast-food restaurants/1,000 pop, 2016","0.732787"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-14.936461"
"Full-service restaurants, 2011","31"
"Full-service restaurants, 2016","30"
"Full-service restaurants (% change), 2011-16","-3.225806"
"Full-service restaurants/1,000 pop, 2011","0.953758"
"Full-service restaurants/1,000 pop, 2016","0.95581"
"Full-service restaurants/1,000 pop (% change), 2011-16","0.215109"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
