 
"State","IL"
"County","McLean"
"Fast-food restaurants, 2011","111"
"Fast-food restaurants, 2016","140"
"Fast-food restaurants (% change), 2011-16","26.126126"
"Fast-food restaurants/1,000 pop, 2011","0.649974"
"Fast-food restaurants/1,000 pop, 2016","0.810711"
"Fast-food restaurants/1,000 pop (% change), 2011-16","24.729659"
"Full-service restaurants, 2011","134"
"Full-service restaurants, 2016","114"
"Full-service restaurants (% change), 2011-16","-14.925373"
"Full-service restaurants/1,000 pop, 2011","0.784654"
"Full-service restaurants/1,000 pop, 2016","0.66015"
"Full-service restaurants/1,000 pop (% change), 2011-16","-15.867319"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
